Date,Description,Amount,Balance
9/30/2021 09:48PM,The Corner Store 2 [1551],-61.22,1719.22
9/30/2021 04:46PM,RITz Sports Zone 2 [1802],-9.99,1780.44
9/30/2021 03:22PM,Artesano Bakery & Cafe 1 [1500],-4.75,1790.43
9/30/2021 01:48PM,RITz Sports Zone 2 [1802],-12.17,1795.18
9/29/2021 06:35PM,The Commons 2 [1576],-7.99,1807.35
9/29/2021 02:59PM,RITz Sports Zone 2 [1802],-15.21,1815.34
9/29/2021 09:09AM,Ctrl Alt DELi 1 [1595],-9.14,1830.55
9/28/2021 06:12PM,Beanz 1 [1505],-5.29,1839.69
9/28/2021 01:43PM,Cafe & Market at Crossroads 3 [1563],-11.62,1844.98
9/28/2021 01:28PM,Cafe & Market at Crossroads 2 [1562],-9.99,1856.60
9/27/2021 06:51PM,Ctrl Alt DELi 1 [1595],-6.89,1866.59
9/26/2021 05:54PM,Cafe & Market at Crossroads 2 [1562],-9.99,1873.48
9/24/2021 12:01AM,The Corner Store 2 [1551],-17.65,1883.47
9/23/2021 05:14PM,The Corner Store 4 [1579],-30.33,1901.12
9/22/2021 07:20PM,Global Village Market 2 [1801],-15.47,1931.45
9/22/2021 01:27PM,Brick City Cafe 3 [1517],-11.98,1946.92
9/21/2021 06:27PM,The Corner Store 2 [1551],-9.18,1958.90
9/21/2021 05:57PM,Global Village Market 2 [1801],-64.66,1968.08
9/21/2021 04:55PM,Cafe & Market at Crossroads 2 [1562],-9.99,2032.74
9/20/2021 09:13PM,The Corner Store 2 [1551],-60.29,2042.73
9/20/2021 01:17PM,Brick City Cafe 1 [1515],-11.98,2103.02
9/20/2021 07:50AM,Beanz 1 [1505],-4.35,2115.00
9/19/2021 11:40AM,Beanz 1 [1505],-10.08,2119.35
9/18/2021 05:05PM,The Commons 2 [1576],-9.99,2129.43
9/18/2021 04:45PM,The College Grind 1 [1375],-5.85,2139.42
9/18/2021 04:41PM,The Commons 2 [1576],-9.99,2145.27
9/18/2021 10:54AM,Beanz 1 [1505],-10.58,2155.26
9/17/2021 04:58PM,Beanz 1 [1505],-5.29,2165.84
9/17/2021 09:05AM,Beanz 1 [1505],-5.29,2171.13
9/16/2021 09:29PM,Sol's Underground OnDemand [1715],-20.56,2176.42
9/16/2021 01:54PM,GOS_A910_93_BEVERAGE,-2.75,2196.98
9/16/2021 12:33PM,Brick City Cafe 3 [1517],-15.97,2199.73
9/15/2021 06:42PM,Cafe & Market at Crossroads 1 [1561],-10.58,2215.70
9/15/2021 06:33PM,Cafe & Market at Crossroads 2 [1562],-7.99,2226.28
9/15/2021 01:09PM,Brick City Cafe 3 [1517],-7.99,2234.27
9/15/2021 12:04PM,CPC_A950_22_SNACK,-3.50,2242.26
9/15/2021 09:10AM,Midnight Oil 2 [1577],-10.04,2245.76
9/14/2021 04:54PM,Cafe & Market at Crossroads 2 [1562],-9.99,2255.80
9/14/2021 03:20PM,Ben & Jerry's 1 [1616],-7.83,2265.79
9/14/2021 12:25PM,Campus Concessions - Tablet 3 [1632],-13.00,2273.62
9/14/2021 10:39AM,Ctrl Alt DELi 1 [1595],-6.89,2286.62
9/13/2021 04:19PM,Cafe & Market at Crossroads 3 [1563],-8.29,2293.51
9/13/2021 04:11PM,Midnight Oil 1 [1600],-5.85,2301.80
9/13/2021 01:15PM,Cafe & Market at Crossroads 2 [1562],-9.99,2307.65
9/13/2021 09:04AM,Beanz 1 [1505],-5.29,2317.64
9/13/2021 07:48AM,Brick City Cafe 3 [1517],-6.29,2322.93
9/12/2021 01:25PM,The Commons 2 [1576],-10.68,2329.22
9/11/2021 05:54PM,The Commons 1 [1630],-9.99,2339.90
9/11/2021 12:13PM,Beanz 1 [1505],-5.89,2349.89
9/10/2021 06:32PM,The Commons 2 [1576],-9.99,2355.78
9/10/2021 03:44PM,Beanz 1 [1505],-5.89,2365.77
9/09/2021 02:57PM,Cafe & Market at Crossroads 3 [1563],-8.29,2371.66
9/09/2021 12:33PM,The Corner Store 2 [1551],-4.48,2379.95
9/09/2021 09:28AM,Beanz 1 [1505],-9.98,2384.43
9/08/2021 04:24PM,Cafe & Market at Crossroads 3 [1563],-7.99,2394.41
9/08/2021 03:57PM,Beanz 1 [1505],-9.98,2402.40
9/08/2021 02:48PM,Cafe & Market at Crossroads 1 [1561],-26.56,2412.38
9/08/2021 09:06AM,Ctrl Alt DELi 1 [1595],-13.78,2438.94
9/07/2021 07:10PM,Beanz 1 [1505],-11.18,2452.72
9/07/2021 04:59PM,Cafe & Market at Crossroads 2 [1562],-7.99,2463.90
9/07/2021 04:50PM,Global Village Cantina & Grille OnDemand [1704],-13.53,2471.89
9/07/2021 12:29PM,Brick City Cafe 3 [1517],-10.29,2485.42
9/07/2021 10:10AM,Ctrl Alt DELi 1 [1595],-6.89,2495.71
9/06/2021 08:04PM,Beanz 1 [1505],-11.18,2502.60
9/06/2021 04:47PM,Global Village Cantina & Grille OnDemand [1704],-13.53,2513.78
9/05/2021 03:12PM,Midnight Oil 1 [1600],-5.25,2527.31
9/05/2021 03:09PM,Cafe & Market at Crossroads 3 [1563],-8.18,2532.56
9/04/2021 07:27PM,Beanz 1 [1505],-5.29,2540.74
9/04/2021 10:54AM,Beanz 1 [1505],-10.58,2546.03
9/03/2021 06:10PM,Beanz 1 [1505],-10.58,2556.61
9/03/2021 09:10AM,Beanz 1 [1505],-10.58,2567.19
9/02/2021 02:09PM,Beanz 1 [1505],-5.29,2577.77
9/02/2021 12:17PM,Ctrl Alt DELi 1 [1595],-13.78,2583.06
9/01/2021 03:15PM,Beanz 1 [1505],-5.29,2596.84
9/01/2021 02:00PM,Beanz 1 [1505],-5.29,2602.13
9/01/2021 11:21AM,Cafe & Market at Crossroads 2 [1562],-9.99,2607.42
9/01/2021 10:04AM,Ctrl Alt DELi 1 [1595],-6.89,2617.41
